EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp
-2,-2,-1,0,1,-1,-1,-1,2021-08-16 12:26:19.768476
-3,-1,0,-2,-1,1,-2,-1,2021-08-16 12:26:19.768476
-2,-1,-2,-2,-1,-1,0,-1,2021-08-16 12:26:19.781519
0,0,-2,1,0,-2,1,0,2021-08-16 12:26:19.782478
1,-1,2,0,0,0,-1,-1,2021-08-16 12:26:19.783478
-1,0,0,-1,-1,-1,0,0,2021-08-16 12:26:19.783478
-2,-1,-3,-1,0,-1,0,0,2021-08-16 12:26:19.804481
-1,-2,0,-2,-1,-1,-1,1,2021-08-16 12:26:19.804481
0,0,-1,0,0,0,0,-2,2021-08-16 12:26:19.806478
0,-1,-2,-2,0,-1,-1,1,2021-08-16 12:26:19.806478
-1,0,-1,0,-1,-1,0,-1,2021-08-16 12:26:19.843478
-1,-1,-1,-1,-1,-1,0,-2,2021-08-16 12:26:19.843478
-2,-1,-2,-3,-1,1,0,1,2021-08-16 12:26:19.844480
-1,0,-1,0,-2,-1,0,0,2021-08-16 12:26:19.845481
